kabupaten_id,bencana_id,tanggal,korban_meninggal,korban_hilang,korban_luka,korban_mengungsi
1101,1,12/9/2015,0,0,0,2284
1101,1,7/5/2014,0,0,0,6
1101,1,10/5/2013,0,0,0,0
1102,1,4/6/2016,0,0,0,0
1102,1,31/1/2016,2,1,2,300
1102,1,12/12/2015,1,0,0,0
1102,1,5/11/2015,0,0,0,0
1102,1,3/11/2015,0,0,0,407
1102,1,25/11/2014,0,0,0,0
1102,1,10/5/2013,0,0,0,0
1102,1,16/11/2012,0,0,0,0
1102,1,9/11/2012,0,0,0,0
1102,1,6/11/2012,1,0,0,0
1102,1,2/2/2011,0,0,0,0
1103,1,13/7/2016,0,0,0,0
1103,1,30/5/2016,0,0,0,0
1103,1,14/5/2016,0,0,0,0
1103,1,11/12/2015,1,0,0,0
1103,1,27/11/2015,0,0,0,0
1103,1,26/10/2015,0,0,0,0
1103,1,7/6/2015,0,0,0,0
1103,1,16/11/2014,0,0,0,0
1103,1,24/10/2014,0,0,0,0
1103,1,18/10/2014,1,0,0,0
1103,1,9/10/2014,0,0,0,0
1103,1,10/5/2013,0,0,0,30558
1103,1,30/11/2012,0,0,0,55
1103,1,18/2/2012,0,0,0,0
1103,1,6/2/2012,0,0,0,0
1103,1,6/10/2011,0,0,0,0
1104,1,6/2/2016,0,0,0,0
1104,1,11/12/2015,0,0,0,290
1104,1,5/11/2015,0,0,0,690
1104,1,23/10/2015,0,0,0,0
1104,1,10/1/2015,0,0,1,0
1104,1,19/10/2014,0,0,0,0
1104,1,2/10/2014,0,0,0,0
1104,1,25/9/2014,0,0,0,0
1104,1,14/4/2014,0,0,0,2486
1104,1,1/1/2013,0,0,0,0
1104,1,1/12/2012,0,0,0,0
1104,1,17/8/2012,4,2,0,761
1104,1,14/4/2012,0,0,5,460
1104,1,12/4/2012,0,0,5,926
1105,1,7/2/2016,0,0,0,0
1105,1,23/10/2015,0,0,0,460
1105,1,22/10/2015,0,0,0,336
1105,1,29/9/2015,0,0,0,0
1105,1,17/12/2014,0,1,1,42237
1105,1,31/12/2013,0,0,0,325
1105,1,30/12/2013,0,0,0,370
1105,1,29/12/2013,0,0,0,0
1105,1,29/12/2013,0,0,0,1840
1105,1,28/12/2013,0,0,0,0
1105,1,12/8/2013,0,0,0,0
1105,1,20/5/2013,0,0,0,0
1105,1,8/2/2013,0,0,0,130
1105,1,1/5/2012,0,0,0,0
1105,1,1/1/2012,0,0,0,0
1105,1,25/11/2011,0,0,0,0
1105,1,1/9/2011,0,0,0,0
1106,1,12/4/2015,0,0,2,70
1106,1,18/10/2013,0,0,0,0
1106,1,6/5/2013,0,0,0,0
1106,1,1/3/2012,0,0,0,0
1106,1,27/4/2011,0,0,0,83
1107,1,23/8/2016,0,0,0,0
1107,1,11/12/2015,0,0,0,0
1107,1,23/10/2015,0,0,0,0
1107,1,14/9/2015,0,0,0,0
1107,1,15/7/2015,0,0,0,0
1107,1,17/4/2015,0,0,0,5642
1107,1,3/11/2014,0,0,0,46142
1107,1,5/9/2013,0,0,0,0
1107,1,1/1/2013,0,0,0,0
1107,1,31/3/2011,0,0,0,20
1108,1,24/8/2016,0,0,0,0
1108,1,27/1/2016,0,0,0,55
1108,1,26/1/2016,0,0,0,55
1108,1,28/11/2015,0,0,0,0
1108,1,7/10/2014,0,0,0,50
1108,1,5/4/2013,0,0,0,0
1108,1,2/1/2013,1,0,0,600
1108,1,1/3/2011,0,0,0,0
1109,1,27/1/2016,2,0,0,14027
1109,1,22/1/2016,0,0,0,0
1109,1,19/12/2015,0,0,0,0
1109,1,10/12/2015,0,0,0,80
1109,1,29/11/2015,0,0,0,0
1109,1,26/11/2015,2,2,0,1270
1109,1,9/5/2015,0,0,0,100
1109,1,18/4/2015,0,0,0,0
1109,1,15/1/2015,0,0,0,0
1109,1,21/12/2014,0,0,0,0
1109,1,2/1/2014,0,0,0,0
1109,1,1/1/2013,0,0,0,0
1109,1,1/12/2012,0,0,0,0
1109,1,5/5/2012,0,0,0,214
1109,1,1/3/2012,0,0,0,0
1109,1,25/2/2012,0,0,2,0
1109,1,1/1/2012,0,0,0,0
1109,1,29/3/2011,0,0,0,0
1109,1,10/3/2011,12,0,2,2
1110,1,9/2/2016,0,0,0,124293
1110,1,24/11/2015,0,0,0,0
1110,1,25/10/2015,0,0,0,0
1110,1,12/6/2015,0,0,0,0
1110,1,26/12/2013,0,0,0,16
1110,1,2/1/2013,0,0,0,0
1110,1,1/12/2012,0,0,0,0
1110,1,1/1/2012,0,0,0,0
1110,1,1/1/2011,0,0,0,0
1111,1,7/2/2016,0,0,0,2084
1111,1,17/1/2016,0,0,0,1505
1111,1,12/9/2015,0,0,0,0
1111,1,11/9/2015,0,0,0,0
