id,nama
12,"SUMATERA UTARA"
32,"JAWA BARAT"
74,"SULAWESI TENGGARA"
33,"JAWA TENGAH"
35,"JAWA TIMUR"
11,"ACEH"
63,"KALIMANTAN SELATAN"
19,"BANGKA BELITUNG"
51,"BALI"
13,"SUMATERA BARAT"
31,"DKI JAKARTA"
52,"NUSA TENGGARA BARAT"
71,"SULAWESI UTARA"
17,"BENGKULU"
34,"DI YOGYAKARTA"
16,"SUMATERA SELATAN"
62,"KALIMANTAN TENGAH"
14,"RIAU"
94,"PAPUA"
72,"SULAWESI TENGAH"
76,"SULAWESI BARAT"
21,"KEPULAUAN RIAU"
36,"BANTEN"
64,"KALIMANTAN TIMUR"
18,"LAMPUNG"
61,"KALIMANTAN BARAT"
15,"JAMBI"
82,"MALUKU UTARA"
73,"SULAWESI SELATAN"
53,"NUSA TENGGARA TIMUR"
81,"MALUKU"
91,"PAPUA BARAT"
75,"GORONTALO"
65,"KALIMANTAN UTARA"
