id,nama,provinsi_id
97230,Stasiun Meteorologi Ngurah Rai,51
97232,Stasiun Geofisika Sanglah,51
97234,Stasiun Geofisika Kahang,51
97236,Stasiun Klimatologi Negara,51
96741,Stasiun Meteorologi Maritim Tanjung Priok,31
96743,Stasiun Geofisika Jakarta,31
96745,Stasiun Meteorologi Kemayoran,31
96749,Stasiun Meteorologi Soekarno Hatta,31
99201,"Java, Indonesia",32
96751,Stasiun Meteorologi Citeko,32
96753,Stasiun Klimatologi Darmaga,32
96783,Stasiun Geofisika Bandung,32
96791,Stasiun Meteorologi Jatiwangi,32
96793,Pos Meteorologi Penggung,32
96807,Stasiun Geofisika Banjarnegara,33
96797,Stasiun Meteorologi Tegal,33
96805,Stasiun Meteorologi Cilacap,33
96835,Stasiun Klimatologi Semarang,33
96837,Stasiun Meteorologi Maritim Tanjung Mas,33
96839,Stasiun Meteorologi Ahmad Yani,33
96925,Stasiun Meteorologi Sangkapura,35
96933,Stasiun Meteorologi Perak I,35
96935,Stasiun Meteorologi Juanda,35
96937,Stasiun Meteorologi Maritim Perak II,35
96943,Stasiun Klimatologi Karang Ploso,35
96945,Stasiun Geofisika Tretes,35
96949,Stasiun Geofisika Karang Kates,35
96973,Stasiun Meteorologi Kalianget,35
96975,Stasiun Geofisika Sawahan,35
96987,Stasiun Meteorologi Banyuwangi,35
96585,Stasiun Meteorologi Maritim Pontianak,61
96535,Stasiun Meteorologi Paloh,61
96557,Stasiun Meteorologi Nangapinoh,61
96559,Stasiun Meteorologi Susilo,61
96565,Stasiun Meteorologi Pangsuma,61
96581,Stasiun Meteorologi Supadio,61
96583,Stasiun Klimatologi Siantan,61
96615,Stasiun Meteorologi Rahadi Oesman,61
96685,Stasiun Meteorologi Syamsudin Noor,63
96687,Stasiun Klimatologi Banjar Baru,63
96695,Stasiun Meteorologi Gusti Syamsir Alam,63
96595,Stasiun Meteorologi Beringin,62
96645,Stasiun Meteorologi Iskandar,62
96651,Stasiun Meteorologi H. Asan,62
96653,Stasiun Meteorologi  Sanggu,62
96655,Stasiun Meteorologi Tjilik Riwut,62
96525,Stasiun Meteorologi Tanjung Harapan,64
96505,Stasiun Meteorologi Yuvai Semaring,64
96503,Stasiun Meteorologi Nunukan,64
96509,Stasiun Meteorologi Juwata,64
96529,Stasiun Meteorologi Kalimarau ,64
96607,Stasiun Meteorologi Temindung,64
96633,Stasiun Meteorologi Sepinggan,64
96635,Stasiun Geofisika 51kpapan,64
96237,Stasiun Meteorologi Depati Amir,19
96247,Stasiun Geofisika Tanjung Pandan,19
96249,Stasiun Meteorologi H. Asan Hananjoedin,19
96087,Stasiun Meteorologi Hang Nadim,21
96089,Stasiun Meteorologi Raja Haji Abdullah Tanjung Balai Karimun,21
96091,Stasiun Meteorologi Kijang,21
96145,Stasiun Meteorologi Tarempa,21
96147,Stasiun Meteorologi Ranai,21
96179,Stasiun Meteorologi Dabo,21
96291,Stasiun Klimatologi Masgar,18
96293,Stasiun Meteorologi Maritim 18,18
96295,Stasiun Meteorologi Radin Inten II,18
96297,Stasiun Geofisika Kota Bumi,18
97700,Stasiun Meteorologi Namlea,81
97722,Stasiun Meteorologi Amahai,81
97724,Stasiun Meteorologi Pattimura,81
97726,Stasiun Klimatologi Kairatu,81
97728,Stasiun Geofisika Karang Panjang,81
97748,Stasiun Meteorologi Geser,81
97790,Stasiun Meteorologi Bandaneira,81
97810,Stasiun Meteorologi Dumatubun Tual,81
97812,Stasiun Geofisika Tual,81
97900,Stasiun Meteorologi Mathilda Batlayeri,81
97902,Stasiun Geofisika Saumlaki,81
97406,Stasiun Meteorologi Gamar Malamo,82
97430,Stasiun Meteorologi Sultan Baabullah,82
97432,Stasiun Geofisika Ternate,82
97460,Stasiun Meteorologi Oesman Sadik,82
97600,Stasiun Meteorologi Emalamo,82
96013,Stasiun Geofisika Mata'ie,11
96001,Stasiun Meteorologi Cut Bau Maimun Saleh,11
96009,Stasiun Meteorologi Malikussaleh,11
96011,Stasiun Meteorologi Sultan Iskandar Muda,11
96015,Stasiun Meteorologi Tjut Nyak Dien Meulaboh,11
96017,Stasiun Klimatologi Indrapuri,11
97240,Stasiun Meteorologi Bandara Internasional Lombok,52
97242,Stasiun Klimatologi Kediri ,52
97260,Stasiun Meteorologi Sultan Muhammad Kaharudin,52
97270,Stasiun Meteorologi Sultan Muhammad Salahudin,52
97282,Stasiun Meteorologi Komodo,53
